Timestamp,Which town/municipality do you live in?,How many food retailers are in your town?,How far from your household is the nearest food retailer?,How many times per week does your household do groceries?,At which of the following food retailers have you purchased in the last 3 months?,Does your town of residence have locally-owned grocery store?,What is missing in your current local store experience that you would like to see?,"What would help resolve some of the pain points that you mentioned? 
What would be the best solution in an ideal world?","Where do you purchase fresh food such as vegetables, fruits, milk, eggs, etc.?","How far do you travel to purchase fresh food such as vegetables, fruits, milk, eggs, etc.?",How popular is the locally-owned independent store(s) in your town?,"How would you compare the prices at the locally-owned independent store to the national brands, such as Kroger?",How often do you shop at your locally-owned food retailer?,"If your town had a healthy food alternative to a dollar store, assuming the prices were reasonable, how likely would you shop there?","Due to the small market, products at local grocery store have to be sold in smaller packages compared to Costco or Walmart. How does this impact your decision to shop there?",Is there anything else which you could tell us about your local grocery store?,Did you have a locally-owned grocery store in the past?,Why was this store closed? (you can pick more than 1),How much do you want a grocery store with basic fresh products in your town?,"If your town had a local fresh grocery store, how would it impact your grocery shopping?","If your town had a healthy food alternative to a dollar store, assuming the prices were reasonable, how likely would you shop there?","Due to the small market, products at local grocery store have to be sold in smaller packages compared to Costco or Walmart. How does this impact your decision to shop there?",How much does your household spend on groceries every month? (on average),What are the top 3 products you consume the most in your household (in a monetary terms)? 
11/19/2022 16:27:16,"South Bend, Indiana",2,Between 3 miles and 5 miles,3-4 times per week,"Dollar General/Dollar Tree, Walmart, Costco",Yes,knkmknkn,lkkjnkl,,,3,2,4,,,m m ,,,,,,,$751-$1000,"Canned food, Alcoholic Beverages, Dry/baking goods"
11/22/2022 11:04:33,Town of Milford,1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Meijer",No,Fresh Produce,"Fresh affordable, quality produce available year round",,,,,,,,,Yes,I have no idea,5,I would be able to have fresh fruits and vegetables more as these are items you can not stock up on when you make your weekly trip into a grocery store.,5,1,$501-$750,"Dairy, Frozen foods, Dry/baking goods"
11/23/2022 9:23:15,LaPaz,2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Martin's, Kroger, ALDI",Yes,larger variety ,LaPaz only has Mac's Market and Dollar General. Would like Dollar General to clean up it's store and fix it's parking lot. Would like to see a larger store like Costco build close to LaPaz.,,,3,4,2,,,,,,,,,,$0-$250,"Non-alcoholic beverage, Frozen foods, Meat"
11/29/2022 7:33:03,Galien mi,2,Less than 3 miles,1-2 times per week,"Walmart, Meijer",Maybe,Fresh produce ,Local delivery from Whole Foods or independent grocery story. We have a dollar teee and a gas station,,,,,,,,,,,,,,,$251-$500,"Non-alcoholic beverage, Meat, Dry/baking goods"
11/29/2022 8:19:11,Bremen,3,Between 5 and 10 miles,1-2 times per week,"Costco, Martin's, Kroger, Local grocery store",Yes,Good fresh produce,"Better suppliers, working with local farmers",,,4,5,1,,,Quality of products has drastically decreased the last 5 years,,,,,,,$501-$750,"Bread/bakery, Dairy, Meat"
11/29/2022 8:34:24,"Wakarusa, IN",2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Meijer, Aldi",Yes,n/a,,,,5,3,4,,,,,,,,,,$501-$750,"Bread/bakery, Dairy, Meat"
11/29/2022 8:35:24,"Wakarusa, IN",1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Costco, Martin's, Aldi",No,more fresh/healthy options,trader joes,,,,,,,,,No,No idea,5,I would shop there all the time.,5,1,$1001-$1250,"Bread/bakery, Meat"
11/29/2022 8:42:40,"North Liberty, IN",2,Less than 3 miles,1-2 times per week,"Costco, Martin's, Meijer",Yes,"I don't shop at the Dollar General, but the locally owned store is very small.  Great meat (but more expensive) and some fresh fruits and veggies, boxed and canned goods.  I'm a gourmet cook, tho, and the ingredients I usually need aren't available locally.","Not sure what the best solution is because you can't expect to be able to find a large store like Meijer, Costco, Whole Foods in a small community.",,,3,4,1,,,It's a butcher shop and they have some amazing sausage?  But we don't eat sausage that often.,,,,,,,$251-$500,"Dairy, Meat, Dry/baking goods"
11/29/2022 8:43:50,Warsaw,5+,Between 3 miles and 5 miles,1-2 times per week,"Walmart, Kroger, Meijer",No,Grocery Store other than Dollar General close to downtown and the southside,Someone that would want to open a new grocery store.,,,,,,,,,Yes,No idea,5,Easier access for those who can't get to the other grocery stores because of their outlaying locations,5,5,$0-$250,"Dairy, Frozen foods, Meat"
11/29/2022 8:43:56,Wakarusa ,2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store, Aldi",No,More fresh food,"I don’t know, small demographic does not allow for fresh vari- too much can spoil before selling",,,,,,,,,Yes,Town was too small to support big stores have sales and better price bargaining ,5,Yes,5,3,$501-$750,"Dairy, Alcoholic Beverages, Meat"
